고객ID,연령,성별,지역,가입기간,월요금,총요금,상담횟수,데이터사용량,계약유형,해지여부
C00001,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C00002,55,남성,경기,2,89000,178000,5,5,약정없음,1
C00003,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C00004,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C00005,62,여성,기타,12,75000,,2,10.2,약정없음,0
C00006,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C00007,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C00008,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C00009,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C00010,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C00011,,여성,서울,10,78200,782000,3,11,약정없음,1
C00012,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C00013,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C00014,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C00015,65,여성,경기,1,45000,,5,1.2,약정없음,1
C00016,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C00017,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C00018,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C00019,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C00020,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C00021,27,여성,경기,2,95000,190000,5,4.5,약정없음,1
C00022,44,남성,대구,12,68000,816000,2,16.7,1년약정,0
C00023,59,여성,서울,66,120000,7920000,1,60.1,2년약정,0
C00024,35,남성,기타,18,77500,1395000,3,22.3,1년약정,0
C00025,22,여성,부산,4,58000,232000,4,8.9,약정없음,1
C00026,,남성,경기,40,91000,3640000,0,35.4,2년약정,0
C00027,33,여성,서울,1,112000,,6,12.1,약정없음,1
C00028,61,남성,대구,55,83000,4565000,1,40.2,2년약정,0
C00029,26,여성,기타,10,49000,490000,2,14,약정없음,0
C00030,40,남성,부산,2,86000,172000,5,3.8,약정없음,1
C00031,52,여성,경기,24,62500,1500000,1,20.5,1년약정,0
C00032,30,남성,서울,8,75500,604000,3,11.2,약정없음,1
C00033,43,여성,대구,15,98000,1470000,2,25.8,1년약정,0
C00034,,남성,부산,36,53000,1908000,0,29.4,2년약정,0
C00035,57,여성,기타,1,48000,48000,4,2.5,약정없음,1
C00036,39,남성,경기,12,81000,972000,2,18,약정없음,0
C00037,64,여성,서울,70,105000,7350000,1,58.9,2년약정,0
C00038,34,남성,대구,4,67000,268000,3,10.1,약정없음,1
C00039,46,여성,부산,20,79000,1580000,1,24.3,1년약정,0
C00040,23,남성,경기,3,92000,276000,5,6.2,약정없음,1
C00041,51,여성,서울,42,88000,3696000,0,38.7,2년약정,0
C00042,28,남성,기타,6,54000,324000,3,13.5,약정없음,1
C00043,60,여성,부산,12,71000,,2,15.8,약정없음,0
C00044,36,남성,대구,1,102000,102000,6,7.4,약정없음,1
C00045,48,여성,경기,50,96000,4800000,1,48.2,2년약정,0
C00046,19,남성,서울,2,40000,80000,4,5.1,약정없음,1
C00047,56,여성,기타,15,84500,1267500,2,21,1년약정,0
C00048,41,남성,부산,8,77000,616000,3,14.2,약정없음,1
C00049,32,여성,경기,24,60000,1440000,1,26.5,1년약정,0
C00050,67,남성,대구,1,46000,46000,5,1.8,약정없음,1
C00051,35,여성,서울,36,99000,3564000,0,33.4,2년약정,0
C00052,,남성,기타,4,63500,254000,4,9.1,약정없음,1
C00053,54,여성,부산,20,72000,1440000,1,23.8,1년약정,0
C00054,42,남성,경기,1,115000,,6,13.5,약정없음,1
C00055,63,여성,대구,72,108000,7776000,1,62.3,2년약정,0
C00056,29,남성,서울,10,56000,560000,2,18.9,약정없음,0
C00057,45,여성,기타,5,89000,445000,4,7.8,약정없음,1
C00058,37,남성,부산,24,81000,1944000,1,30.2,1년약정,0
C00059,50,여성,경기,3,67500,202500,5,4.9,약정없음,1
C00060,26,남성,대구,48,44000,2112000,0,32.7,2년약정,0
C00061,58,여성,서울,1,49500,49500,4,3.1,약정없음,1
C00062,33,남성,기타,12,79500,954000,2,16.4,약정없음,0
C00063,47,여성,부산,60,112500,6750000,1,57.1,2년약정,0
C00064,22,남성,경기,2,98000,196000,5,5.8,약정없음,1
C00065,66,여성,서울,15,83500,,2,22.4,1년약정,0
C00066,40,남성,대구,4,71500,286000,3,11.5,약정없음,1
C00067,,여성,기타,24,65000,1560000,1,27.8,1년약정,0
C00068,31,남성,부산,1,107000,107000,6,9.2,약정없음,1
C00069,27,여성,경기,42,42500,1785000,0,35.2,2년약정,0
C00070,44,남성,서울,6,58500,351000,3,15.6,약정없음,1
C00071,59,여성,대구,12,73500,882000,2,19.2,약정없음,0
C00072,35,남성,기타,1,118000,118000,6,14.8,약정없음,1
C00073,22,여성,부산,55,94000,5170000,1,45.8,2년약정,0
C00074,49,남성,경기,8,82500,660000,3,13.2,약정없음,1
C00075,33,여성,서울,20,76000,1520000,1,28.4,1년약정,0
C00076,61,남성,대구,2,91000,182000,5,6.1,약정없음,1
C00077,26,여성,기타,36,51000,1836000,0,30.5,1년약정,0
C00078,40,남성,부산,3,69500,,4,10.2,약정없음,1
C00079,52,여성,경기,15,86500,1297500,2,24.1,1년약정,0
