production_line,shift,operator_experience_years,processing_time_min,temperature,humidity,measurement_A,measurement_B,measurement_C,defect_status
Line-1,주간,11.0,28.2,30.9,49.0,102.31,172.37,46.22,0
Line-3,야간,2.0,25.0,24.6,57.3,94.46,162.9,52.36,0
Line-1,야간,7.0,18.4,25.5,46.4,91.87,187.95,45.75,0
Line-1,주간,14.0,30.3,28.2,32.0,107.93,204.5,52.99,0
Line-3,주간,5.0,23.6,27.3,61.7,111.14,183.81,46.28,0
Line-1,야간,0.0,27.8,24.7,65.8,102.93,190.35,53.22,0
Line-2,주간,10.0,30.8,25.7,64.1,95.11,206.01,66.22,0
Line-2,주간,3.0,30.9,24.7,42.4,97.82,194.37,50.18,0
Line-2,야간,15.0,34.4,26.7,52.7,88.2,227.48,41.89,0
Line-3,주간,6.0,31.4,26.8,36.8,101.27,192.58,56.63,0
Line-3,주간,3.0,,22.6,43.3,108.52,196.12,49.0,0
Line-2,야간,1.0,24.2,29.6,72.5,92.38,199.53,43.25,0
Line-2,주간,7.0,29.7,27.4,49.6,110.43,233.98,48.42,0
Line-1,주간,7.0,31.5,26.3,47.4,89.91,209.82,50.33,0
Line-2,야간,6.0,28.0,22.4,69.4,109.26,189.82,50.45,0
Line-3,야간,0.0,21.6,23.1,46.8,93.33,198.82,45.0,0
Line-3,주간,0.0,29.2,26.3,71.0,106.34,187.07,51.96,0
Line-2,야간,12.0,33.6,23.7,24.9,87.08,197.53,52.52,0
Line-1,야간,15.0,,22.3,45.6,102.96,175.5,56.1,0
Line-1,주간,0.0,26.9,19.9,48.6,108.14,196.04,50.44,0
Line-1,주간,14.0,26.3,19.0,57.0,105.59,190.42,52.11,0
Line-2,주간,7.0,24.9,23.1,66.9,94.99,217.57,61.23,0
Line-1,주간,6.0,23.4,22.6,41.9,99.37,215.28,47.28,0
Line-1,주간,2.0,33.8,23.9,51.7,111.56,211.58,57.66,0
Line-1,야간,13.0,26.0,29.6,57.8,102.71,213.66,55.31,0
Line-1,주간,7.0,,27.2,43.2,99.27,233.13,59.11,0
Line-2,야간,6.0,28.6,26.4,65.5,108.31,203.2,53.75,0
Line-1,주간,6.0,35.4,25.6,63.6,90.71,220.51,39.39,0
Line-1,야간,12.0,28.4,22.6,63.8,123.31,204.86,48.03,0
Line-3,야간,12.0,27.9,27.1,51.2,114.25,213.94,47.12,0
Line-3,야간,8.0,42.7,27.6,46.2,101.43,186.41,56.63,0
Line-3,주간,14.0,29.2,29.2,56.2,130.77,195.31,42.01,0
Line-2,주간,9.0,34.2,26.4,49.9,97.56,172.57,44.67,0
Line-3,주간,2.0,34.7,33.2,36.6,85.56,177.57,56.31,0
Line-1,야간,14.0,26.2,21.5,36.6,115.77,224.86,49.92,0
Line-1,주간,14.0,34.6,24.7,32.6,94.13,269.95,55.27,0
Line-3,주간,14.0,32.7,26.0,31.1,96.7,171.49,47.26,0
Line-3,주간,7.0,36.6,21.0,43.5,97.12,190.99,51.9,0
Line-1,야간,,28.6,25.1,43.9,109.14,185.47,44.21,0
Line-2,야간,12.0,25.9,22.8,46.5,99.53,174.89,48.8,0
Line-2,야간,13.0,23.7,23.9,47.9,107.83,208.49,61.38,0
Line-2,야간,,28.3,26.0,50.4,100.49,174.24,45.16,0
Line-3,야간,0.0,31.0,26.4,40.3,98.27,190.29,53.26,0
Line-1,야간,5.0,34.0,27.5,51.0,99.18,202.95,45.32,0
Line-2,야간,9.0,35.4,24.1,25.3,96.24,208.81,50.25,0
Line-2,주간,14.0,33.3,21.2,50.2,97.45,205.44,45.41,0
Line-1,주간,2.0,38.9,24.5,48.5,102.08,173.56,46.19,0
Line-2,야간,13.0,30.3,28.9,57.6,100.33,198.39,47.79,0
Line-3,야간,4.0,25.5,26.8,64.4,110.57,200.1,54.59,0
Line-3,주간,,29.7,23.0,49.6,108.42,184.61,44.73,0
Line-2,주간,15.0,37.7,28.7,48.8,97.46,222.03,44.7,0
Line-1,야간,5.0,37.0,27.4,51.9,77.83,192.37,45.04,0
Line-2,주간,1.0,29.2,26.4,51.8,115.07,211.35,50.54,0
Line-3,야간,7.0,34.1,23.7,54.1,89.49,182.74,57.67,0
Line-3,주간,7.0,31.0,28.9,20.5,75.41,192.37,49.99,0
Line-1,주간,10.0,27.8,28.1,41.8,131.25,198.53,44.85,0
Line-3,주간,7.0,36.9,21.5,53.3,90.13,192.37,48.01,0
