number,region,area_sqm,num_rooms,num_bathrooms,building_age
1,서초,105,4,3,12
2,서초,105,2,3,13
3,강남,128,1,2,18
4,강남,137,2,1,13
5,서초,115,1,1,38
6,마포,192,2,3,13
7,강북,66,4,3,39
8,마포,96,,2,24
9,마포,180,1,2,29
10,강남,195,3,3,37
11,서초,73,3,3,30
12,강북,131,4,2,29
13,강남,196,3,3,39
14,마포,125,3,3,11
15,기타,199,2,2,5
16,강남,77,5,3,17
17,,113,5,3,11
18,서초,198,5,1,1
19,마포,166,5,3,34
20,강남,104,4,2,37
21,서초,134,5,3,34
22,서초,125,3,3,16
23,강남,91,5,2,39
24,강남,89,3,1,22
25,강남,129,3,1,16
26,기타,105,3,2,2
27,서초,184,4,2,2
28,서초,182,4,2,10
29,마포,188,2,1,14
30,서초,185,5,2,12
31,기타,90,2,2,3
32,마포,125,2,1,1
33,강북,56,4,2,0
34,강북,160,2,2,34
35,기타,159,5,2,21
36,강북,193,4,3,12
37,마포,171,4,2,26
38,마포,71,4,2,30
39,서초,131,2,2,22
40,기타,157,3,1,8
41,강남,193,2,,19
42,강남,73,4,2,8
43,마포,102,1,1,8
44,마포,171,2,3,16
45,강남,93,1,2,6
46,강남,57,1,3,27
47,서초,102,3,2,24
48,강남,69,5,3,33
49,마포,187,1,2,37
50,강북,180,4,3,32
51,서초,66,5,2,22
52,서초,159,4,2,6
53,강남,102,2,1,34
54,강남,82,1,2,1
55,서초,180,5,1,33
56,강남,129,4,3,2
57,서초,78,5,3,27
58,강남,161,2,1,
59,,178,1,3,1
60,강남,101,,2,15
61,강북,134,4,1,37
62,,173,1,1,36
63,기타,136,2,3,0
64,강북,144,1,2,27
65,강북,199,2,1,23
66,서초,162,1,3,29
67,강북,51,3,3,3
68,강남,155,5,2,22
69,강남,93,5,2,37
70,서초,196,3,1,24
71,마포,166,5,2,28
72,서초,51,4,2,16
73,서초,125,2,2,39
74,강북,163,1,3,14
75,서초,69,2,1,31
76,강남,162,2,1,24
77,서초,94,5,2,18
78,서초,62,2,2,17
79,마포,96,1,2,10
80,강남,141,,2,28
81,마포,56,1,3,39
82,서초,102,5,3,26
83,서초,112,5,1,26
84,강북,56,1,1,32
85,기타,133,3,1,0
86,강남,156,1,1,4
87,강남,177,,3,
88,강남,134,5,1,2
89,강남,128,5,3,28
90,기타,135,4,2,26
91,강남,139,3,3,15
92,,136,5,3,36
93,서초,172,3,2,14
94,강북,74,1,2,23
95,강남,108,1,3,11
96,마포,104,4,3,0
97,강북,194,1,2,26
98,서초,175,5,1,1
99,마포,156,5,1,0
100,서초,180,4,2,30
101,서초,73,3,1,15
102,강북,119,3,2,22
103,강북,75,5,2,6
104,강남,67,2,2,1
105,기타,139,5,2,13
106,강남,179,1,1,24
107,강남,99,3,2,30
108,강남,163,4,1,1
109,기타,139,4,2,32
110,강북,74,2,2,5
111,마포,93,5,1,
112,기타,121,3,3,31
113,마포,90,4,1,34
114,강북,195,4,3,23
115,기타,99,1,1,32
116,마포,125,2,2,14
117,강남,50,2,3,15
118,마포,158,1,2,11
119,마포,103,5,1,38
120,강북,172,3,1,13
121,강남,99,2,3,16
122,마포,134,2,3,16
123,,115,2,1,18
124,강북,143,4,2,31
125,강북,137,1,3,12
126,강북,162,4,3,13
127,강남,196,3,2,14
128,서초,64,1,2,29
129,강북,184,3,1,10
130,서초,57,2,3,3
131,강북,62,5,1,17
132,강북,98,2,1,35
133,강남,92,2,3,33
134,기타,179,4,2,1
135,강남,99,2,1,1
136,서초,80,4,2,28
137,서초,181,2,3,
138,강남,67,4,2,
139,마포,125,3,1,13
140,강남,125,5,1,37
141,서초,143,5,3,25
142,강남,190,2,1,3
143,마포,154,2,2,37
144,마포,163,5,2,15
145,서초,97,4,3,33
146,강남,86,5,3,8
147,기타,125,3,2,21
148,서초,110,2,,24
149,강북,133,4,1,25
150,마포,161,4,1,35
151,강남,199,5,1,
152,마포,172,1,2,37
153,강남,81,4,3,29
154,마포,144,1,3,33
155,강남,61,4,2,30
156,서초,85,4,2,15
157,기타,182,2,1,26
158,기타,81,1,2,28
159,강남,171,2,1,5
160,기타,125,5,3,36
161,서초,161,5,2,34
162,기타,181,3,3,8
163,서초,179,4,1,21
164,강남,194,5,3,20
165,서초,145,4,2,20
166,강북,162,3,1,27
167,서초,96,4,1,22
168,서초,93,5,2,21
169,강남,176,1,3,30
170,마포,95,4,1,18
171,마포,127,4,1,10
172,마포,101,1,2,3
173,강북,182,3,1,20
174,서초,132,4,3,5
175,강남,129,1,3,35
176,강북,157,4,2,13
177,마포,97,4,1,24
178,마포,52,3,3,
179,마포,177,1,2,3
180,서초,178,3,1,21
181,기타,119,5,2,28
182,강북,93,3,2,29
183,강남,125,1,2,6
184,강남,151,5,3,14
185,강남,125,3,2,5
186,강남,66,4,3,32
187,강남,152,5,1,10
188,기타,125,3,3,33
189,마포,167,3,2,37
190,기타,165,3,2,11
191,서초,125,1,3,26
192,강북,74,,2,12
193,강북,76,4,2,21
194,강북,139,3,3,17
195,서초,82,4,1,8
196,마포,180,4,3,18
197,강남,96,1,2,30
198,마포,124,3,2,24
199,강남,66,4,3,36
200,서초,102,5,3,8
201,강북,163,5,3,11
202,강남,89,3,,23
203,서초,146,1,3,13
204,강남,78,2,1,28
205,마포,189,1,3,30
206,서초,179,2,2,0
207,강북,142,5,2,33
208,강북,187,2,1,24
209,강남,188,4,2,30
210,강북,97,4,1,7
211,기타,160,2,1,6
212,마포,118,1,1,29
213,서초,81,5,,29
214,강북,71,2,3,25
215,강남,78,3,3,11
216,서초,164,3,1,34
217,마포,153,1,3,12
218,강북,185,3,2,7
219,서초,196,4,3,19
220,마포,127,1,2,24
221,강남,139,5,3,28
222,서초,102,,3,26
223,마포,99,4,3,38
224,강남,198,4,2,4
225,마포,158,5,3,34
226,기타,60,3,2,36
227,강남,112,5,3,15
228,강북,118,5,1,9
229,강북,84,1,2,22
230,서초,188,2,3,23
231,강북,194,4,3,25
232,강북,179,2,1,32
233,강북,91,4,1,28
234,서초,198,4,2,17
235,강남,62,5,1,24
236,기타,160,4,3,4
237,마포,120,3,1,30
238,강남,190,3,3,0
239,서초,147,1,1,24
240,기타,147,1,2,33
241,서초,60,1,3,35
242,강북,101,2,1,38
243,마포,136,4,1,17
244,강남,132,5,3,17
245,강북,188,2,1,15
246,강남,139,4,1,18
247,강남,143,2,,18
248,마포,51,4,2,11
249,기타,175,5,2,29
250,강북,80,4,3,11
251,강남,126,3,2,7
252,서초,100,4,2,
253,강북,105,1,3,36
254,서초,112,2,3,25
255,강남,138,3,2,28
256,강북,174,2,3,35
257,마포,51,4,2,30
258,강북,168,3,2,9
259,서초,182,5,2,38
260,서초,89,4,1,26
261,마포,193,3,3,9
262,마포,150,3,3,21
263,마포,142,4,3,32
264,강남,154,5,3,15
265,강북,146,4,,2
266,마포,54,2,3,15
267,서초,182,3,2,24
268,강남,120,1,1,1
269,강남,88,2,3,22
270,강북,183,3,1,15
271,강북,119,5,1,1
272,마포,156,4,3,18
273,마포,86,3,1,33
274,마포,72,5,1,31
275,서초,195,4,2,36
276,마포,183,2,2,7
277,강남,125,4,2,1
278,마포,161,3,1,30
279,강남,57,1,3,34
280,강남,178,5,2,35
281,마포,87,4,2,38
282,강남,82,3,1,7
283,서초,115,3,2,8
284,강남,162,5,1,11
285,강남,196,1,1,12
286,,82,1,3,8
287,강북,171,5,1,
288,서초,99,4,,35
289,강남,141,4,3,22
290,기타,197,3,1,15
291,강남,123,3,1,20
292,서초,55,1,2,11
293,마포,155,2,3,21
294,기타,193,5,3,18
295,마포,52,4,1,24
296,강북,152,3,1,30
297,강북,192,2,2,3
298,마포,176,4,1,37
299,강북,59,1,3,29
300,강북,151,3,1,30
301,서초,78,1,1,7
302,강북,199,2,2,27
303,강남,186,2,1,2
304,서초,74,2,1,15
305,강남,130,2,3,6
306,강북,70,4,1,16
307,기타,171,2,2,19
308,강북,93,5,3,2
309,서초,103,3,2,0
310,강남,118,2,3,35
311,서초,61,3,1,1
312,서초,97,4,3,30
313,마포,64,3,3,2
314,강북,71,3,3,20
315,강남,122,3,1,5
316,강남,107,3,3,25
317,강북,199,1,2,5
318,서초,86,3,2,8
319,마포,84,3,1,17
320,기타,195,5,2,11
321,강북,52,2,3,19
322,강남,186,3,2,19
323,마포,62,2,2,5
324,,195,5,2,23
325,마포,180,4,1,24
326,서초,95,3,3,28
327,서초,175,4,1,21
328,마포,136,3,1,39
329,서초,156,4,1,29
330,강남,191,5,3,26
331,강남,87,3,3,19
332,기타,168,4,3,6
333,강남,125,3,2,38
334,강남,186,4,2,9
335,서초,139,4,1,23
336,강북,102,4,1,
337,마포,117,2,2,1
338,마포,152,4,2,32
339,강북,182,1,3,25
340,강남,122,1,3,7
341,마포,143,1,3,
342,강남,114,3,1,15
343,강북,193,1,3,15
344,기타,115,4,2,10
345,기타,101,5,2,12
346,서초,60,4,3,25
347,마포,190,3,1,20
348,,73,1,1,12
349,강북,87,3,1,32
350,강북,183,5,2,26
351,강남,184,4,1,3
352,강북,117,1,3,22
353,강북,62,1,1,30
354,강북,190,2,3,34
355,강북,114,1,1,14
356,마포,104,5,2,3
357,강남,134,5,1,25
358,강남,51,4,1,13
359,서초,160,2,3,18
360,강북,62,4,2,29
361,마포,188,3,2,35
362,강북,82,5,1,5
363,마포,160,5,1,9
364,강남,67,1,3,38
365,기타,153,1,3,38
366,기타,179,3,2,30
367,기타,175,5,2,
368,강남,151,3,1,4
369,기타,184,4,3,23
370,서초,112,3,1,11
371,강북,111,4,2,12
372,,147,4,3,2
373,기타,128,3,3,9
374,강남,75,4,1,13
375,마포,158,5,2,36
376,강남,151,2,2,12
377,서초,107,5,2,5
378,서초,119,2,2,15
379,마포,80,4,3,16
380,강남,114,4,2,36
381,마포,153,4,3,
382,강남,101,2,1,11
383,마포,118,3,2,30
384,기타,148,1,3,1
385,마포,149,4,1,34
386,강남,125,2,2,17
387,강북,190,5,2,36
388,서초,104,5,2,3
389,강남,176,2,3,21
390,마포,165,3,1,39
391,강남,69,3,2,0
392,서초,83,5,3,20
393,서초,73,,2,9
394,강남,190,5,3,13
395,서초,180,3,2,37
396,마포,90,,3,6
397,마포,128,1,3,19
398,서초,125,3,2,37
399,서초,87,3,2,12
400,강북,196,1,2,10
401,강북,164,2,3,2
402,강남,57,2,2,0
403,강남,65,4,3,2
404,강북,199,4,2,26
405,서초,78,1,2,13
406,강북,108,4,,24
407,서초,111,1,1,33
408,서초,145,5,3,1
409,강남,160,2,1,26
410,서초,165,1,2,10
411,마포,166,2,1,35
412,마포,160,4,3,25
413,강남,123,3,3,25
414,강북,113,4,3,21
415,강북,71,2,2,27
416,강북,139,2,1,25
417,강남,64,3,3,30
418,마포,119,1,3,38
419,기타,121,3,1,33
420,강남,156,1,1,17
421,강남,166,4,1,23
422,강남,123,5,3,26
423,서초,51,4,3,28
424,마포,118,3,3,37
425,강북,92,5,3,37
426,강남,61,2,2,32
427,강북,175,2,2,39
428,강북,189,3,3,33
429,기타,151,5,,8
430,강남,163,1,1,7
431,강남,198,4,3,15
432,강남,179,2,1,19
433,,85,3,3,11
434,마포,125,5,1,25
435,마포,167,5,2,38
436,기타,198,1,3,36
437,강북,50,4,3,2
438,서초,82,2,1,30
439,마포,125,2,2,4
440,마포,107,3,2,2
441,강북,93,1,1,18
442,서초,141,2,2,38
443,마포,136,1,2,19
444,강남,75,1,1,5
445,서초,63,5,1,22
446,강북,107,1,3,5
447,강북,148,1,2,32
448,기타,103,4,3,31
449,강북,132,1,2,19
450,기타,66,2,2,15
451,서초,120,2,3,6
452,서초,141,3,1,25
453,기타,184,3,2,14
454,강남,106,3,2,38
455,강남,69,5,1,21
456,강남,137,5,1,5
457,마포,172,5,2,35
458,마포,105,3,1,17
459,마포,194,3,3,17
460,마포,132,3,2,24
461,마포,176,5,1,31
462,강남,73,2,2,14
463,강북,57,2,3,39
464,강북,100,4,1,19
465,강북,69,3,2,14
466,서초,122,5,1,4
467,강남,108,3,1,32
468,기타,167,5,2,31
469,서초,80,4,3,39
470,강북,192,1,1,34
471,기타,199,5,2,34
472,강남,121,2,1,16
473,강남,151,3,1,29
474,기타,159,1,1,12
475,강북,161,3,3,36
476,서초,146,2,2,30
477,강남,172,3,2,10
478,서초,61,3,2,7
479,강남,111,2,1,22
480,강북,164,5,3,8
481,강남,129,2,2,
482,강남,93,5,3,14
483,강북,153,3,1,5
484,,159,,1,30
485,마포,50,1,3,11
486,기타,168,2,1,14
487,강남,117,2,1,22
488,강북,100,5,3,31
489,강북,127,1,1,17
490,강남,176,1,2,8
491,마포,85,5,1,11
492,강남,91,3,2,22
493,강남,102,2,2,20
494,강북,103,5,1,31
495,기타,84,1,2,23
496,강남,97,2,2,18
497,마포,99,,2,27
498,강남,139,2,1,21
499,서초,110,2,2,33
500,강남,174,4,1,22
501,서초,117,3,1,21
502,강북,60,2,3,
503,서초,67,4,1,33
504,마포,61,2,2,4
505,기타,194,3,2,21
506,서초,195,5,2,4
507,강남,158,5,1,35
508,강북,125,2,2,35
509,강남,188,3,3,8
510,마포,157,5,2,36
511,마포,146,2,1,13
512,서초,155,2,3,11
513,강북,153,3,1,37
514,강남,112,3,1,22
515,강북,121,2,1,
516,서초,136,5,1,38
517,서초,61,1,1,18
518,강남,83,4,2,17
519,서초,84,5,3,20
520,강남,186,5,3,8
521,서초,142,4,3,12
522,서초,188,3,1,11
523,,115,1,3,9
524,서초,144,4,1,22
525,서초,77,1,1,6
526,마포,142,1,1,26
527,강북,107,1,3,21
528,강남,187,2,1,36
529,강남,84,1,2,20
530,강북,129,4,2,10
531,기타,76,2,2,4
532,강남,167,2,2,9
533,기타,151,5,3,30
534,강남,61,1,3,14
535,서초,143,2,2,16
536,서초,189,1,,16
537,강남,58,3,3,16
538,강남,158,1,3,
539,서초,192,5,3,23
540,마포,127,1,3,36
541,강남,60,2,1,33
542,강남,95,2,3,29
543,강남,135,5,3,5
544,강남,194,5,2,32
545,강남,69,3,3,11
546,강남,51,4,1,22
547,마포,185,2,2,12
548,강남,139,4,3,14
549,서초,51,2,1,21
550,서초,196,4,3,39
551,강남,192,1,2,10
552,강남,143,1,1,28
553,강북,131,4,1,19
554,강남,145,5,3,29
555,강남,58,2,1,21
556,기타,66,,2,23
557,강남,89,2,3,20
558,강남,140,4,1,11
559,,125,4,3,26
560,마포,84,1,2,5
561,마포,149,,3,31
562,마포,62,1,3,23
563,강남,62,3,1,34
564,서초,195,2,2,23
565,서초,94,4,2,2
566,마포,187,4,1,19
567,마포,128,4,3,16
568,강북,161,1,3,27
569,강북,184,5,2,1
570,강남,100,3,3,24
571,서초,94,2,3,33
572,서초,155,5,1,19
573,강북,159,1,2,1
574,기타,97,2,1,6
575,서초,198,2,1,18
576,마포,117,3,3,30
577,강북,79,5,3,30
578,마포,68,1,2,36
579,강남,119,3,2,14
580,,67,3,3,25
581,강북,159,5,1,11
582,마포,54,4,2,8
583,강남,133,1,3,16
584,강남,94,1,3,11
585,강남,57,2,3,1
586,강남,120,3,2,30
587,강남,88,4,3,13
588,강남,113,3,3,10
589,강북,90,4,2,36
590,강남,171,1,2,8
591,마포,62,4,1,9
592,마포,90,5,3,34
593,마포,92,5,1,26
594,강북,191,4,2,0
595,기타,191,3,1,18
596,,125,5,2,12
597,강남,59,5,3,7
598,,162,3,3,29
599,마포,97,4,3,20
600,강남,152,2,3,10
601,강북,150,,1,29
602,서초,136,3,3,28
603,강북,139,4,3,27
604,,157,2,1,5
605,강북,165,5,3,21
606,서초,165,2,2,20
607,마포,165,4,2,37
608,기타,87,2,1,13
609,강남,144,4,3,31
