number,building_material,parking_spaces,subway_stations_1km,amenities_500m,school_score,price_eok
1,목조,1,1,11,7,29.7
2,목조,2,3,2,3,29.6
3,벽돌,2,,11,9,30.3
4,벽돌,2,0,5,3,29.1
5,철근콘크리트,1,3,10,4,26.4
6,목조,2,2,8,8,36.4
7,벽돌,1,1,13,4,12.1
8,철근콘크리트,2,2,12,7,26
9,철근콘크리트,3,0,2,6,25.9
10,목조,,1,7,5,33.8
11,철근콘크리트,2,0,1,2,16.9
12,목조,2,1,7,9,23
13,벽돌,3,0,0,7,31.8
14,목조,2,1,1,6,26.3
15,철근콘크리트,2,1,1,3,28.5
16,목조,1,0,13,3,24.6
17,벽돌,1,0,9,2,28.5
18,철근콘크리트,2,2,14,9,45
19,철근콘크리트,2,3,13,1,30.1
20,벽돌,1,0,2,4,22.2
21,벽돌,2,1,8,2,25.9
22,목조,2,0,7,1,24.2
23,벽돌,1,2,4,1,23.7
24,철근콘크리트,1,0,11,7,25.6
25,,2,3,6,6,35.8
26,목조,2,3,8,10,28.4
27,벽돌,2,0,10,3,35.5
28,목조,2,0,10,6,35.2
29,벽돌,3,0,6,7,31.1
30,벽돌,3,3,9,1,39
31,철근콘크리트,2,1,11,5,20
32,목조,1,3,0,6,27.5
33,철근콘크리트,1,1,7,3,17.8
34,벽돌,2,1,0,5,20.7
35,벽돌,2,1,0,2,22.2
36,목조,3,1,9,3,29.3
37,목조,2,2,3,6,31.2
38,목조,2,2,7,6,20.8
39,철근콘크리트,1,1,12,8,29.9
40,목조,2,3,7,10,32.7
41,목조,2,2,9,9,40.9
42,철근콘크리트,1,3,8,8,33.5
43,벽돌,1,3,9,1,26.5
44,벽돌,2,3,7,9,36.1
45,목조,2,1,9,9,31
46,목조,1,1,6,1,18.9
47,철근콘크리트,1,1,9,6,25.8
48,철근콘크리트,1,1,12,6,24
49,벽돌,3,2,3,4,28.1
50,철근콘크리트,2,1,2,10,26.8
51,목조,1,1,11,5,23.3
52,,2,0,7,2,31.4
53,목조,2,1,12,3,24.1
54,철근콘크리트,1,3,9,8,34.4
55,목조,2,1,0,9,33.4
56,벽돌,2,0,0,2,30.5
57,벽돌,1,3,13,2,26.2
58,목조,2,2,5,2,30
59,목조,2,2,11,9,42.7
60,벽돌,2,3,9,7,33
61,철근콘크리트,1,3,4,4,22.4
62,벽돌,2,1,12,9,28.3
63,철근콘크리트,2,2,1,4,25.7
64,철근콘크리트,2,1,11,6,21.6
65,목조,2,,10,7,30.8
66,벽돌,2,,5,2,25.4
67,,1,2,7,2,17.6
68,목조,2,1,13,3,33.4
69,벽돌,1,1,8,5,24.7
70,벽돌,2,1,8,5,33.1
71,철근콘크리트,2,1,6,4,28.1
72,벽돌,2,,12,3,19.6
73,철근콘크리트,2,1,4,3,20.9
74,철근콘크리트,2,1,10,4,25
75,벽돌,2,3,8,7,25
76,철근콘크리트,2,2,7,9,36.6
77,철근콘크리트,2,0,13,4,24.6
78,벽돌,1,3,14,5,26.7
79,목조,2,3,5,5,27.1
80,철근콘크리트,2,2,2,10,34.2
81,목조,1,0,10,1,9.8
82,목조,1,3,5,7,30.5
83,목조,2,0,8,1,22.8
84,목조,1,3,14,5,16.1
85,벽돌,2,3,7,2,27.5
86,목조,2,2,12,2,36.5
87,목조,2,2,4,1,36.2
88,철근콘크리트,2,3,7,9,41.7
89,목조,2,3,3,5,33.5
90,목조,2,3,14,1,23.2
91,목조,2,2,14,8,36.8
92,목조,,2,0,4,27.9
93,목조,2,2,10,10,38.9
94,벽돌,1,0,12,3,12
95,철근콘크리트,,3,11,8,35.2
96,벽돌,1,3,1,1,29
97,벽돌,3,2,12,10,30.9
98,벽돌,2,3,9,9,44.2
99,목조,2,1,4,1,31
100,벽돌,2,1,9,5,31.9
101,벽돌,1,0,7,4,21.5
102,철근콘크리트,2,0,12,2,17.2
103,목조,1,3,5,7,24.8
104,벽돌,1,2,1,3,28.1
105,철근콘크리트,2,1,9,10,26.7
106,목조,2,0,9,7,33
107,목조,2,0,14,4,23.8
108,철근콘크리트,2,3,3,6,42.4
109,목조,2,3,1,5,23.1
110,벽돌,1,2,2,1,18.1
111,벽돌,1,3,3,4,26.1
112,벽돌,2,2,13,4,19.7
113,벽돌,1,1,9,2,18.1
114,,2,0,14,7,27.8
115,목조,1,1,3,8,15.3
116,목조,2,1,7,4,27.5
117,철근콘크리트,1,0,13,1,19.8
118,철근콘크리트,2,3,5,7,34.1
119,목조,1,0,13,6,19.5
120,벽돌,2,3,11,10,34.2
121,벽돌,1,2,6,1,27.8
122,철근콘크리트,2,,5,4,23.7
123,벽돌,2,1,10,2,22.9
124,철근콘크리트,2,0,12,9,21.8
125,벽돌,2,3,9,5,28.2
126,철근콘크리트,2,0,12,8,26.8
127,철근콘크리트,3,2,9,9,42.7
128,,1,2,2,2,19.3
129,목조,2,2,0,5,30.4
130,벽돌,1,1,6,6,24.7
131,목조,1,0,5,3,13.3
132,목조,2,1,5,5,14.8
133,벽돌,2,1,13,3,23.4
