production_line,material_type,temp_sensor_1,pressure_sensor,humidity,vibration_sensor,processing_time_sec,power_consumption,operator_experience_years,yield_percentage
Line-B,Type-X,94.97,50.93,57.93,0.5828,116.7,233.75,3.0,94.02
Line-A,Type-X,99.09,50.37,51.29,0.9396,,199.01,6.0,94.82
Line-A,Type-X,101.39,51.77,67.43,0.9908,118.6,207.59,9.0,96.08
Line-B,Type-Y,100.32,49.27,37.91,1.3588,115.0,213.31,10.0,96.57
Line-A,Type-X,105.25,54.07,45.86,0.9597,121.0,192.11,9.0,94.8
Line-B,Type-Y,104.25,50.93,67.2,0.9185,112.0,205.64,8.0,96.03
Line-A,Type-Z,106.73,51.31,40.98,1.3098,127.9,173.81,1.0,92.24
Line-B,Type-Z,100.87,48.67,42.52,1.2064,110.6,241.53,10.0,94.24
Line-B,Type-Y,106.22,51.31,30.89,1.07,122.4,198.82,10.0,95.43
Line-A,Type-Y,103.66,48.89,63.18,1.0845,134.8,192.96,7.0,95.23
Line-A,Type-X,92.08,48.97,56.58,1.0679,128.7,172.24,4.0,95.67
Line-A,Type-Y,93.41,,51.45,0.9655,111.7,226.87,4.0,94.33
Line-A,Type-Z,106.15,52.99,67.78,1.0978,116.6,224.84,7.0,94.48
Line-A,Type-X,121.31,49.18,44.34,0.8089,112.0,182.07,3.0,92.98
Line-B,Type-Z,97.96,47.91,61.04,1.1742,113.2,184.55,6.0,93.47
Line-B,Type-Z,108.9,46.38,,1.416,105.6,213.37,6.0,91.97
Line-A,Type-X,103.4,51.91,,0.7103,110.0,183.06,4.0,94.17
Line-B,Type-X,104.38,51.22,,1.5981,,213.78,1.0,94.32
Line-A,Type-Y,101.37,50.26,52.66,0.9763,126.3,220.4,8.0,96.37
Line-B,Type-X,97.78,47.89,49.81,0.9111,110.5,170.84,10.0,94.82
Line-B,Type-Z,108.26,51.12,50.1,1.0819,113.7,186.75,4.0,92.41
Line-A,Type-Y,102.76,46.17,35.1,1.4726,122.0,198.47,9.0,95.69
Line-B,Type-X,97.46,48.37,,0.8555,121.3,202.24,10.0,95.19
Line-A,Type-X,100.07,45.74,53.35,0.8981,116.5,208.0,8.0,95.09
Line-B,Type-Y,94.28,47.71,34.81,0.7733,121.1,241.47,6.0,95.63
Line-B,Type-Z,94.0,50.73,,1.1873,129.6,216.11,6.0,93.61
Line-A,Type-X,99.4,47.49,51.79,0.6859,104.2,228.11,10.0,94.05
Line-A,Type-Y,94.19,49.63,65.17,0.8847,124.7,234.65,8.0,96.79
Line-B,Type-Z,104.3,49.42,63.54,0.9079,143.0,215.56,9.0,92.75
Line-A,Type-Y,95.19,49.09,45.83,1.4466,106.9,189.02,10.0,95.79
Line-A,Type-X,101.05,48.57,30.65,1.3305,106.8,152.97,7.0,94.97
Line-A,Type-Z,98.26,50.27,64.54,1.0932,122.3,190.06,10.0,93.79
Line-B,Type-X,99.3,45.81,55.31,1.0398,105.8,152.97,4.0,93.84
Line-B,Type-Y,97.77,49.31,48.4,1.1756,123.2,143.19,4.0,95.95
Line-A,Type-Y,106.4,51.25,52.89,0.8335,124.8,192.61,1.0,95.78
Line-A,Type-X,96.21,48.35,39.69,1.0752,132.7,174.42,4.0,96.26
Line-A,Type-Z,97.0,52.42,40.8,0.7654,115.4,204.49,9.0,93.34
Line-A,Type-Y,100.73,49.02,69.39,1.0357,100.7,152.97,2.0,94.59
Line-A,Type-Z,106.51,46.46,52.47,0.7945,,211.91,9.0,92.58
Line-B,Type-X,99.38,50.99,31.15,0.7101,139.1,204.28,3.0,92.65
Line-B,Type-Y,107.9,51.3,34.2,0.9467,121.4,203.96,9.0,95.89
Line-A,Type-Y,103.45,52.29,55.49,1.1728,125.7,179.54,1.0,94.92
Line-A,Type-Z,109.65,48.72,53.52,0.8611,146.9,208.88,8.0,91.63
Line-B,Type-Z,99.61,49.06,53.41,0.9384,128.1,207.96,7.0,94.68
Line-A,Type-X,94.58,51.64,30.07,0.777,125.6,121.53,5.0,94.5
Line-B,Type-X,96.61,49.05,66.96,0.6322,122.7,194.57,10.0,96.93
Line-A,Type-Y,100.77,49.18,48.18,0.7531,113.5,184.73,10.0,97.23
Line-B,Type-Y,100.42,50.41,42.58,1.0198,102.9,167.6,5.0,95.99
Line-B,Type-X,98.42,50.39,61.94,0.9863,123.3,194.3,5.0,95.14
Line-A,Type-Y,104.89,49.6,68.66,1.0072,114.8,203.72,1.0,95.99
Line-B,Type-Y,92.7,52.5,,1.2757,116.7,152.97,3.0,93.91
Line-A,Type-Y,100.18,48.01,52.51,1.0542,109.4,193.34,6.0,94.64
Line-A,Type-Y,102.03,,68.2,0.8755,120.4,236.27,2.0,95.48
Line-B,Type-Y,93.25,48.78,54.59,1.4451,123.3,217.42,8.0,96.13
Line-A,Type-Z,98.71,48.89,56.75,1.0278,110.4,212.51,5.0,93.88
Line-A,Type-Y,99.07,,36.02,1.1144,133.7,187.91,3.0,95.4
Line-A,Type-Z,100.45,49.92,41.73,1.0398,116.8,197.0,3.0,94.26
Line-A,Type-Y,91.47,52.57,34.33,1.1041,132.5,181.12,3.0,94.33
Line-B,Type-X,103.84,52.89,60.1,1.1303,111.7,228.2,7.0,94.52
Line-A,Type-X,93.4,47.7,35.21,1.2443,115.0,213.47,7.0,94.28
Line-A,Type-Y,92.72,50.34,67.31,0.8989,111.6,167.0,3.0,95.88
Line-B,Type-Y,93.34,49.52,62.27,1.2086,122.0,203.34,5.0,95.25
Line-A,Type-X,100.13,51.79,57.47,0.9858,118.8,232.2,1.0,94.88
Line-B,Type-Y,104.37,50.02,43.96,0.8137,116.3,195.69,7.0,96.67
Line-B,Type-Y,104.3,49.93,30.39,0.9938,,173.29,8.0,96.38
Line-B,Type-Z,97.64,51.89,,1.068,125.8,189.96,10.0,93.44
Line-A,Type-X,,49.86,59.13,1.0617,128.1,221.52,2.0,95.26
Line-B,Type-Y,105.25,49.2,39.81,0.9581,115.8,213.83,6.0,95.19
Line-B,Type-Y,94.95,50.68,38.97,0.8594,109.3,175.35,6.0,95.77
Line-A,Type-X,101.93,,67.98,1.0109,121.6,170.33,9.0,95.94
Line-A,Type-Y,102.38,50.91,38.73,0.6996,134.0,184.07,6.0,96.07
Line-A,Type-Z,100.69,51.44,58.29,1.0231,133.9,171.77,7.0,93.82
Line-B,Type-Y,87.04,48.5,56.16,0.8482,113.7,203.47,6.0,94.65
Line-B,Type-X,104.29,51.2,68.61,0.7517,124.4,172.25,10.0,95.0
