tenure_months,contract_type,payment_method,internet_service,monthly_charge,total_charges,data_usage_gb,support_calls,addon_services,churn
32.0,2년,신용카드,기가,124253.0,4355946.0,123.0,0.0,0.0,0
45.0,무약정,지류,광랜,35326.0,1372634.0,125.0,0.0,5.0,0
40.0,무약정,지류,기가,128300.0,5179948.0,371.0,7.0,0.0,1
59.0,2년,신용카드,광랜,20723.0,1242669.0,158.0,5.0,3.0,0
46.0,1년,신용카드,기가,89569.0,3572681.0,371.0,3.0,4.0,0
11.0,2년,지류,기가,141271.0,1346049.0,76.0,9.0,0.0,1
68.0,2년,자동이체,미사용,82148.0,,198.0,6.0,2.0,0
3.0,무약정,자동이체,미사용,58525.0,174262.0,434.0,10.0,4.0,1
21.0,2년,지류,기가,29649.0,600920.0,144.0,7.0,4.0,1
46.0,1년,자동이체,광랜,97490.0,3765735.0,,3.0,5.0,0
29.0,1년,자동이체,기가,,4184861.0,89.0,5.0,3.0,1
28.0,1년,자동이체,미사용,112745.0,2912694.0,119.0,9.0,4.0,1
55.0,1년,지류,기가,65701.0,,27.0,9.0,4.0,1
29.0,1년,신용카드,미사용,74645.0,1837122.0,53.0,1.0,5.0,0
70.0,무약정,지류,광랜,91692.0,7423439.0,433.0,7.0,0.0,1
62.0,2년,자동이체,,146627.0,7460500.0,67.0,8.0,,0
57.0,2년,자동이체,광랜,113174.0,7032304.0,171.0,8.0,1.0,0
29.0,2년,지류,기가,73814.0,2418035.0,337.0,7.0,0.0,1
34.0,1년,지류,광랜,39897.0,1294121.0,169.0,1.0,4.0,0
16.0,2년,자동이체,미사용,98999.0,1476809.0,133.0,6.0,3.0,1
72.0,2년,지류,광랜,143632.0,9332104.0,323.0,0.0,5.0,0
17.0,1년,지류,미사용,131959.0,2653681.0,62.0,6.0,5.0,1
24.0,무약정,신용카드,기가,98808.0,2210059.0,389.0,3.0,0.0,1
69.0,1년,신용카드,미사용,145748.0,9649401.0,352.0,10.0,0.0,1
50.0,무약정,지류,기가,42355.0,2334128.0,137.0,7.0,4.0,1
55.0,1년,지류,광랜,28536.0,1812164.0,51.0,5.0,4.0,0
38.0,1년,자동이체,미사용,79128.0,3554289.0,461.0,2.0,1.0,1
58.0,무약정,자동이체,미사용,53902.0,2517622.0,391.0,10.0,4.0,1
,2년,신용카드,미사용,129368.0,9312863.0,101.0,4.0,0.0,0
48.0,2년,신용카드,미사용,111504.0,5921579.0,78.0,8.0,2.0,1
9.0,2년,자동이체,미사용,122935.0,1215071.0,361.0,2.0,,1
53.0,2년,지류,광랜,125806.0,7488915.0,135.0,8.0,3.0,1
60.0,무약정,신용카드,미사용,127329.0,8358696.0,199.0,7.0,5.0,1
,무약정,지류,광랜,89540.0,1333719.0,11.0,5.0,4.0,1
33.0,무약정,신용카드,기가,52158.0,1975869.0,476.0,3.0,0.0,1
40.0,2년,자동이체,,111487.0,,341.0,5.0,4.0,0
14.0,2년,신용카드,기가,72167.0,1162374.0,336.0,6.0,2.0,1
32.0,1년,지류,미사용,40371.0,1409099.0,437.0,4.0,4.0,0
,무약정,자동이체,미사용,22366.0,1096896.0,45.0,7.0,5.0,1
69.0,무약정,지류,광랜,103070.0,6530047.0,486.0,3.0,2.0,1
45.0,2년,자동이체,기가,26487.0,1109240.0,273.0,0.0,3.0,0
68.0,2년,자동이체,기가,63978.0,3918454.0,266.0,10.0,0.0,0
2.0,1년,지류,기가,,178875.0,192.0,3.0,1.0,1
50.0,2년,자동이체,기가,112492.0,4791381.0,175.0,6.0,1.0,0
37.0,1년,신용카드,기가,74032.0,2799886.0,14.0,6.0,5.0,1
39.0,2년,지류,미사용,104746.0,4433294.0,109.0,4.0,3.0,1
51.0,2년,지류,광랜,130190.0,5626408.0,,1.0,1.0,1
8.0,무약정,지류,미사용,21365.0,155979.0,424.0,1.0,3.0,1
34.0,1년,자동이체,미사용,121905.0,3971327.0,44.0,1.0,1.0,1
16.0,2년,자동이체,광랜,116453.0,1717894.0,73.0,4.0,1.0,1
28.0,1년,자동이체,미사용,92376.0,2354089.0,117.0,0.0,4.0,0
34.0,1년,자동이체,기가,127185.0,3659524.0,307.0,9.0,0.0,1
2.0,1년,자동이체,기가,100619.0,196442.0,118.0,6.0,2.0,1
39.0,무약정,신용카드,미사용,59645.0,1983708.0,472.0,3.0,0.0,1
9.0,무약정,지류,광랜,62047.0,528156.0,409.0,4.0,1.0,1
39.0,무약정,자동이체,기가,139706.0,5155288.0,410.0,6.0,3.0,1
47.0,1년,신용카드,기가,63379.0,2657698.0,462.0,5.0,4.0,1
38.0,1년,자동이체,미사용,,3349804.0,157.0,2.0,5.0,0
27.0,2년,자동이체,기가,37362.0,1080194.0,310.0,0.0,3.0,0
62.0,2년,신용카드,기가,75540.0,5275167.0,262.0,8.0,0.0,0
45.0,2년,자동이체,미사용,50084.0,2084170.0,485.0,4.0,4.0,0
40.0,무약정,신용카드,미사용,60194.0,2183968.0,27.0,1.0,1.0,1
12.0,무약정,지류,미사용,108196.0,1267940.0,305.0,10.0,4.0,1
38.0,무약정,자동이체,기가,85813.0,,132.0,4.0,4.0,1
5.0,무약정,자동이체,광랜,,289435.0,21.0,8.0,0.0,1
68.0,2년,자동이체,광랜,69331.0,4792161.0,435.0,1.0,1.0,0
19.0,,자동이체,기가,56370.0,1017312.0,170.0,9.0,3.0,1
26.0,2년,신용카드,기가,131444.0,3102997.0,63.0,5.0,0.0,1
27.0,무약정,신용카드,광랜,71082.0,1882742.0,472.0,3.0,1.0,1
58.0,2년,신용카드,광랜,96021.0,5786803.0,450.0,10.0,5.0,1
70.0,,자동이체,기가,42115.0,,403.0,0.0,4.0,0
67.0,2년,신용카드,미사용,44363.0,2651106.0,175.0,7.0,2.0,0
25.0,2년,지류,미사용,107334.0,3171636.0,455.0,5.0,1.0,1
54.0,무약정,자동이체,광랜,49419.0,2678475.0,222.0,7.0,4.0,0
38.0,무약정,지류,미사용,69331.0,2229350.0,88.0,1.0,3.0,1
37.0,2년,신용카드,광랜,139248.0,4122404.0,134.0,9.0,0.0,1
7.0,1년,신용카드,미사용,63974.0,523697.0,25.0,0.0,1.0,1
5.0,1년,지류,광랜,133645.0,646116.0,279.0,1.0,5.0,1
33.0,무약정,지류,미사용,62521.0,2107780.0,490.0,4.0,3.0,1
3.0,2년,자동이체,미사용,,333978.0,350.0,8.0,5.0,1
56.0,무약정,자동이체,광랜,116041.0,5808372.0,72.0,5.0,4.0,1
48.0,1년,자동이체,기가,33475.0,1770319.0,335.0,8.0,1.0,0
18.0,,자동이체,기가,140663.0,,117.0,10.0,4.0,1
49.0,무약정,자동이체,기가,125938.0,5452309.0,260.0,2.0,,1
24.0,2년,자동이체,기가,49463.0,1133421.0,355.0,8.0,4.0,0
21.0,무약정,자동이체,기가,60915.0,1260166.0,202.0,6.0,1.0,1
26.0,2년,지류,미사용,81609.0,1789419.0,73.0,3.0,1.0,0
18.0,무약정,신용카드,광랜,59804.0,1092064.0,119.0,7.0,2.0,1
46.0,1년,신용카드,미사용,27509.0,1279519.0,328.0,0.0,1.0,0
29.0,1년,자동이체,광랜,109675.0,3409470.0,329.0,4.0,2.0,1
27.0,무약정,,광랜,49565.0,1448042.0,171.0,10.0,1.0,1
45.0,무약정,자동이체,기가,,4005794.0,160.0,5.0,0.0,1
,1년,신용카드,기가,75955.0,5407524.0,188.0,5.0,3.0,0
